SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1759223391.780697, 0.390255, 15.515474, 1.753005, 2.710115, 0.963302, -1.702639, -72.016602, -1.114243, -153.526688
1759223391.800694, 3.053505, 16.271294, 3.675399, 2.579465, 0.686897, -1.739040, -71.708496, -3.805756, -155.039825
1759223391.820632, 6.939444, 18.747497, 3.564068, 2.278511, 1.192820, -1.129092, -71.189911, -5.770386, -156.601349
1759223391.840687, 12.649016, 21.860857, 4.763863, 1.707672, 1.225466, 0.570881, -70.318222, -7.149384, -157.401154
1759223391.860694, 13.258041, 16.664990, -2.291700, 2.938559, -0.005249, 1.543315, -69.857971, -9.665985, -158.376373
1759223391.880700, 7.301717, 10.678289, 0.823605, 3.560352, -1.332842, 0.632331, -70.668594, -12.111191, -158.705093
1759223391.900692, 5.761796, 6.607099, 3.319112, 3.233373, -0.922916, -0.436496, -70.912460, -15.612152, -159.549515
1759223391.920614, 5.377975, 6.460604, 1.414075, 3.240259, 0.279060, -0.845011, -70.590149, -18.202988, -160.116241
1759223391.940698, 4.724508, 8.035240, 2.254739, 3.148278, 0.631264, -0.602421, -70.105408, -21.344543, -160.716599
1759223391.960706, 3.250428, 7.287800, 2.840421, 3.081065, 0.697530, -0.440477, -69.645248, -24.131073, -160.748779
1759223391.980702, 2.132186, 5.144242, 2.231994, 3.091036, 0.528046, -0.367721, -68.876022, -26.776352, -160.791779
1759223392.000711, 1.817349, 2.785354, 1.756297, 2.725082, 0.325700, -0.218698, -68.396393, -29.201553, -160.681870
1759223392.020699, 1.610699, 1.020379, 1.985841, 1.832039, 0.564133, -0.067115, -67.884705, -30.982773, -160.649399
1759223392.040672, 2.222567, 0.719158, 2.091036, 0.788305, 0.525020, 0.273326, -67.316910, -31.609421, -160.348892
1759223392.060702, 2.234239, 1.044620, 2.136226, -0.068462, 0.482123, 0.527384, -67.050812, -31.761810, -160.580032
1759223392.080702, 2.214936, 1.107318, 1.769016, -0.701889, 0.880203, 0.606005, -66.557922, -31.249557, -160.978271
1759223392.100818, 1.854459, 1.838298, 0.613963, -1.227843, 1.612751, 0.564417, -65.350296, -30.364059, -161.211273
1759223392.120713, 1.678934, 3.390040, -1.172560, -1.585295, 1.848954, 0.468402, -63.900574, -28.795593, -161.711243
1759223392.140668, 2.131288, 7.613861, -11.452813, -0.593938, 1.513346, 0.259544, -62.238922, -27.992126, -162.472916
1759223392.160706, 7.306655, 17.847576, -26.018238, 0.887686, 1.343021, 0.051698, -61.503647, -29.200424, -162.139572
1759223392.180409, 6.502801, 20.446033, -15.695638, -0.497016, 1.370718, -0.382300, -60.108719, -29.031189, -162.781204
1759223392.200707, 0.442628, 12.421118, -6.287922, -1.535183, -1.769015, -1.422879, -60.800415, -28.298737, -162.095413
1759223392.220779, 2.580800, 6.097732, -4.907066, -0.291756, -1.947302, -1.138194, -62.539658, -27.851395, -161.881958
1759223392.239845, 7.128287, 5.386804, -4.213496, 0.308912, -0.651688, 0.087775, -63.371567, -28.504913, -161.688217
1759223392.260690, 14.902110, 12.122741, 3.448099, 0.213553, -0.190144, 2.624144, -63.730209, -28.093826, -161.580841
1759223392.280151, 9.738565, 19.514838, 1.918055, -0.325666, -0.540766, 1.636918, -63.875107, -28.205826, -161.230255
1759223392.300775, -0.362572, 7.078756, 12.362311, -2.319010, 0.727355, -0.736462, -63.785599, -26.610733, -161.420853
1759223392.320703, -1.303493, 1.844583, 2.655469, -2.437439, -0.289332, -1.645853, -63.598328, -24.795532, -161.304840
1759223392.340251, 0.773626, 4.192546, 1.875408, -2.660121, -1.989383, -1.318957, -64.917007, -22.912033, -161.248886
1759223392.360706, 6.312163, 11.792491, 5.643433, -3.725037, -1.997009, 0.104917, -66.340347, -20.222702, -161.016678
1759223392.380692, 3.881151, 14.138509, -0.253935, -3.159593, -2.590056, 0.426871, -68.573517, -17.542130, -159.815582
1759223392.400701, 3.429095, 13.379547, 0.795025, -2.618555, -1.778640, 0.100530, -69.827789, -15.355469, -158.557098
1759223392.420187, 4.725855, 10.780192, 1.203086, -2.341726, -0.782341, 0.057515, -70.950424, -13.466385, -158.009491
1759223392.440669, 3.315969, 8.346486, -0.282665, -1.775960, -0.094576, -0.077263, -70.862808, -11.991638, -157.014481
1759223392.460681, 1.919850, 5.882254, -0.234632, -1.379501, 0.086812, -0.125589, -70.921021, -11.037079, -156.877945
1759223392.480492, 1.680730, 6.707057, 1.054496, -1.413817, 0.143130, 0.020831, -70.627136, -10.055817, -156.417267
1759223392.500229, 1.042226, 8.431032, 1.111059, -1.504575, 0.243130, 0.083160, -70.021088, -9.019348, -156.289734
1759223392.520681, 0.091429, 9.062353, -0.099210, -1.420500, 0.091781, 0.116635, -70.293777, -8.127548, -155.685989
1759223392.539833, -0.529717, 8.983793, -0.478541, -1.489084, -0.319984, 0.250946, -70.310944, -7.158356, -155.435852
1759223392.559994, -0.811784, 8.969577, 0.373944, -1.637972, -0.445931, 0.344535, -70.450760, -6.134338, -154.673080
1759223392.580694, -0.363919, 8.895058, 0.500239, -1.491164, -0.248990, 0.334560, -70.778244, -4.815125, -154.119141
1759223392.600688, 1.722778, 8.947281, -0.622492, -1.288512, -0.136674, 0.316557, -70.458969, -3.700882, -153.999588
1759223392.620688, 2.970755, 9.721656, -0.765995, -1.470861, -0.124430, 0.325719, -70.313141, -2.618591, -153.443375
1759223392.640564, 2.393453, 10.292374, -0.522235, -1.491182, -0.461710, 0.419108, -70.396744, -1.933487, -152.372131
1759223392.660389, 1.630900, 10.524312, -1.048361, -1.396227, -0.925367, 0.515786, -70.537201, -0.960205, -151.801987
