SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1759224929.667247, 4.034080, 8.213907, 0.812682, 1.468462, -0.009200, -1.744256, -18.107437, -16.819199, -97.161346
1759224929.687258, 3.231125, 3.186682, 2.012476, 1.340144, 1.837807, -1.016016, -19.168564, -15.246368, -95.716461
1759224929.707262, 3.988291, -1.687164, 2.769343, 1.001565, 1.990644, -0.313575, -20.479309, -14.057175, -95.126266
1759224929.727253, 3.077896, -4.674379, 4.165312, -0.124632, 1.617161, 0.240439, -21.274445, -13.902802, -93.852982
1759224929.746611, 0.875380, -4.285771, 7.076213, -1.208698, 2.189547, 0.561168, -22.412537, -14.869125, -92.356598
1759224929.767254, -0.533159, -4.096479, 6.600515, -1.044729, 3.460889, 0.528778, -23.399170, -16.126434, -89.882080
1759224929.787251, -0.276530, -3.527108, 3.864840, -0.750086, 3.579226, 0.337858, -25.795151, -16.509048, -88.165329
1759224929.806341, 3.529801, -4.733486, -21.249438, 2.867335, -1.443280, 0.770381, -25.989975, -15.647171, -88.065765
1759224929.826820, 7.577798, 15.203330, -28.773516, 4.426366, 1.420880, 0.415429, -25.412399, -13.467621, -89.267456
1759224929.847244, -1.763778, 20.885220, 1.667262, -1.007686, -6.570225, -1.362348, -24.090164, -12.686523, -91.476456
1759224929.867222, 4.781520, 6.470929, 14.863653, -3.454855, -6.131122, -0.907100, -21.047745, -13.558838, -95.263626
1759224929.887247, 12.581979, 6.021716, 12.814665, -2.225231, 0.219166, 0.815256, -20.259064, -15.002869, -96.572693
1759224929.906978, 7.775469, 2.534861, 12.882152, -1.505746, 1.088322, 1.316260, -20.203491, -16.439270, -96.120346
1759224929.926860, 9.510667, 3.686921, 12.516437, -2.251340, -0.756791, 2.869095, -20.554657, -19.191940, -95.386765
1759224929.947219, 16.518794, 12.258612, 5.167735, -2.353077, -1.077944, 4.540843, -19.472504, -22.881592, -96.457626
1759224929.967066, 18.277036, 15.665710, 2.841768, -1.780000, 1.339747, 4.708551, -19.851639, -27.483932, -96.300064
1759224929.987240, 17.248427, 20.701465, -3.214964, -1.580401, 11.100015, 2.708297, -23.539078, -30.577988, -91.961304
1759224930.007233, 10.045472, 26.104430, -13.060969, -0.157940, 7.937550, 1.155674, -30.535187, -32.028366, -85.834320
